Processes: 303 total, 2 running, 301 sleeping, 1490 threads
2021/10/12 15:53:43
Load Avg: 1.23, 1.25, 1.18
CPU usage: 4.67% user, 26.16% sys, 69.15% idle
SharedLibs: 157M resident, 52M data, 30M linkedit.
MemRegions: 129813 total, 1685M resident, 52M private, 532M shared.
PhysMem: 8172M used (2223M wired), 18M unused.
VM: 5177G vsize, 1371M framework vsize, 12836793(0) swapins, 13807265(0) swapouts.
Networks: packets: 19427236/22G in, 10440141/967M out.
Disks: 18380597/185G read, 41489324/419G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS  IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
94683  top              0.0  00:00.27 1/1   0   14+    2436K+ 0B     0B     94683 94322 running  *0[1+]      0.00000 0.00000    0   1261+     94+     292358+    146178+    1365+      148636+    137+       18+      0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94682  ex2              0.0  00:00.01 1     0   10+    10M+   0B     0B     94682 94322 sleeping *0[1+]      0.00000 0.00000    501 2919+     84+     25+        12+        93+        51+        39+        29+      0        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94679  CoreServicesUIAg 0.0  00:00.10 3     1   146+   3880K+ 0B     0B     94679 1     sleeping *0[1+]      0.00000 0.00000    501 4615+     256+    1003+      254+       2534+      2083+      1122+      20+      50       0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94674  secinitd         0.0  00:00.08 2     2   39+    3364K+ 0B     0B     94674 1     sleeping  0[0]       0.00000 0.00000    0   2703+     179+    136+       43+        1038+      311+       153+       4+       2        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94673  com.apple.geod   0.0  00:00.21 4     1   50+    8176K+ 0B     0B     94673 1     sleeping  0[0]       0.00000 0.00000    0   4602+     213+    309+       104+       6573+      767+       1277+      9+       58       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94672  AssetCacheLocato 0.0  00:00.04 2     1   54+    2664K+ 0B     0B     94672 1     sleeping *0[1+]      0.00000 0.00000    501 2409+     163+    166+       41+        724+       398+       188+       76+      0        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94671  pbs              0.0  00:00.06 2     2   45+    1560K+ 0B     932K+  94671 1     sleeping  0[0]       0.00000 0.00000    501 2327+     147+    194+       58+        790+       381+       361+       22+      0        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94670  iconservicesagen 0.0  00:00.08 2     2   48+    2608K+ 0B     2324K+ 94670 1     sleeping  0[0]       0.00000 0.00000    0   2561+     151+    139+       45+        1798+      373+       376+       89+      0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94669  iconservicesagen 0.0  00:00.20 2     2   57+    4292K+ 0B     3768K+ 94669 1     sleeping  0[0]       0.00000 0.00000    501 3709+     152+    187+       53+        4490+      849+       1106+      557+     0        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94665  amfid            0.0  00:00.05 2     2   42+    2192K+ 0B     860K+  94665 1     sleeping *0[1+]      0.00000 0.00000    0   2368+     171+    111+       33+        851+       280+       500+       17+      2        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94661  AudioComponentRe 0.0  00:00.04 2     1   40+    2948K+ 0B     2628K+ 94661 1     sleeping *0[1+]      0.00000 0.00000    0   2280+     142+    92+        35+        768+       231+       114+       0        1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94660  systemsoundserve 0.0  00:00.07 2     2   69+    3224K+ 248K+  2156K+ 94660 1     sleeping *0[1+]      0.00000 0.00000    0   2879+     315+    794+       235+       940+       957+       570+       187+     4        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94658  com.apple.geod   0.0  00:00.11 3     1   54+    6804K+ 0B     2936K+ 94658 1     sleeping *0[1+]      0.00000 0.00000    501 4195+     206+    268+       82+        2188+      691+       1490+      56+      91       0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94657  networkservicepr 0.0  00:00.05 2     1   51+    3008K+ 0B     2628K+ 94657 1     sleeping *0[1+]      0.00000 0.00000    501 3336+     204+    175+       51+        847+       404+       160+       21+      2        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94656  nsurlstoraged    0.0  00:00.05 2     1   34+    1644K+ 0B     692K+  94656 1     sleeping  0[0]       0.00000 0.00000    243 2493+     143+    115+       37+        546+       264+       172+       47+      1        0.0   0      0      _nsurlstoraged     N/A    N/A   N/A   N/A   N/A   N/A
94652  Google Chrome He 0.0  00:01.54 13    1   169+   44M+   0B     33M+   4148  4148  sleeping *0[4+]      0.00000 0.00000    501 31808+    2283+   7489+      4287+      16069+     14821+     10335+     13+      413      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94628  mdworker_shared  0.0  00:00.18 4     1   61+    6988K+ 0B     6776K+ 94628 1     sleeping *0[1+]      0.00000 0.00000    501 15217+    189+    717+       292+       1712+      1508+      654+       18+      0        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94619  nehelper         0.0  00:00.06 2     1   54+    2912K+ 0B     1684K+ 94619 1     sleeping *0[4+]      0.00000 0.00000    0   3684+     171+    270+       86+        1858+      481+       367+       15+      2        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94608  CalNCService     0.0  00:00.38 3     2   127+   7212K+ 0B     6044K+ 94608 1     sleeping *0[24+]     0.00000 0.00000    501 9349+     288+    1216+      325+       3827+      2164+      1688+      17+      18       0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94607  CalendarAgent    0.0  00:01.08 3     1   161+   13M+   0B     8896K+ 94607 1     sleeping *0[31+]     0.00000 0.00000    501 12655+    374+    2308+      704+       20801+     4541+      6764+      27+      158      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94605  ContextService   0.0  00:00.12 2     2   42+    4796K+ 0B     4752K+ 94605 1     sleeping *0[1+]      0.00000 0.00000    501 3447+     712+    250+       63+        888+       516+       592+       1095+    1        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94604  suggestd         0.0  00:00.30 2     1   117+   9316K+ 0B     9264K+ 94604 1     sleeping *0[6+]      0.00000 0.00000    501 10705+    328+    965+       228+       6743+      1793+      2680+      31+      7        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94603  coreduetd        0.0  00:00.08 2     1   48+    3996K+ 0B     2504K+ 94603 1     sleeping *0[2+]      0.00000 0.00000    0   5188+     194+    237+       88+        2008+      487+       524+       33+      4        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
94601  com.apple.WebKit 0.0  00:00.15 3     1   90+    5044K+ 0B     4528K+ 94601 1     sleeping *0[42+]     0.00000 0.00000    501 8787+     395+    1225+      386+       2877+      3700+      1548+      137+     180      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94594  mobileassetd     0.0  00:00.59 2     1   41+    14M+   0B     1320K+ 94594 1     sleeping *0[24+]     0.00000 0.00000    0   13483+    173+    468+       189+       2628+      779+       1539+      73+      14       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
